user_id,video_owner_id,total_view_time,vk_platform,nav_screen,video_id
592741837464,256810287576,1,vk_video_android,video_search,1524751102278
593368195630,290594636696,1,vk_video_android,video_for_you,1524751336218
608348887916,263063546196,3,vk_video_android,video_for_you,1524752021328
625398399360,283074246524,1,vk_video_ios,video_search,1524753207738
634103161524,222961795952,2,vk_video_android,video_for_you,1524799965660
649432722960,279672446984,0,vk_video_ios,video_search,1524753625488
663993165962,10314244660,2,vk_video_android,video_search,1524755924784
677550070540,-664690027732,6,vk_video_android,video_search,1524869011380
683710447168,283074246524,8,vk_video_android,video_for_you,1524753207738
695094524404,279672446984,2,vk_video_ios,video_for_you,1524754758426
697504582768,273603166108,0,vk_video_android,video_search,1524754096710
704809149814,57751195872,0,vk_video_android,video_for_you,1524992498280
740526925558,296615182456,0,vk_video_android,video_search,1524750811524
750813696374,297027991092,0,vk_video_android,video_for_you,1524750834918
753159101002,279942606536,0,vk_video_android,video_my_history,1524760890996
762300075096,51648934156,2,vk_video_ios,video_for_you,1524783158742
767534819044,201260352920,0,vk_video_ios,video_for_you,1524754714980
771871739450,257088576488,0,vk_video_android,video_group_all,1524752779962
791042776902,292117072520,0,vk_video_android,video_search,1524775228176
822394417586,292278366172,0,vk_video_android,video_for_you,1524752362212
823145063524,292769954132,2742,vk_video_ios,video_search,1524798628860
823984558152,283197009128,10,vk_video_android,video_for_you,1524753291288
826303458764,291259019896,1,vk_video_android,video_for_you,1524751339560
829845057902,4179288088,1197,vk_video_android,video_my_history,1524778062192
842356258576,260983472024,1,vk_video_ios,video_for_you,1524907671636
843764485214,74181110396,0,vk_video_ios,video_for_you,1524788532678
845844548500,265151972160,8,vk_video_ios,video_search,1524751493292
860422861634,288614564244,0,vk_video_android,video_for_you,1524751416426
860726955060,263063546196,1,vk_video_android,video_for_you,1524752021328
892460594914,1670820476,0,vk_video_android,video_search,1524752352186
937898618132,145819277544,7971,vk_video_android,video_for_you,1524762124194
939232352422,219655572,2,vk_video_android,video_search,1524750951888
941269346682,135470763792,1,vk_video_android,video_search,1524758327682
956086798324,292278366172,1,vk_video_android,video_for_you,1524754394148
956469098676,36380330484,9,vk_video_android,video_for_you,1524754333992
957471733554,250641341276,0,vk_video_android,video_search,1524751583526
958727863282,-467418120216,0,vk_video_android,video_search,1524751510002
978990785878,254211670128,0,vk_video_ios,video_for_you,1524771204408
993547413908,292769954132,0,vk_video_ios,video_search,1524797038068
1008648679388,279672446984,0,vk_video_android,video_search,1524754661508
1009917860336,269668717396,2,vk_video_android,video_for_you,1524756389322
1030313905376,218753722780,0,vk_video_ios,video_for_you,1524751647024
1097523572222,242746903892,0,vk_video_android,video_search,1524751409742
1104942287246,203288495840,0,vk_video_android,video_search,1524751590210
1105318764746,279942606536,0,vk_video_ios,video_for_you,1524758611752
1133544035876,2736457764,6,vk_video_android,video_search,1524751794072
1135973972252,159080868012,0,vk_video_android,video_search,1524750881706
1154842823764,290095899136,0,vk_video_android,video_for_you,1524750834918
1176162393210,243581230436,0,vk_video_android,video_for_you,1524753043980
